=== Benchmark Results ===
Date: Thu Jan  8 08:27:38 UTC 2026

Dataset    Index                Build(s)     QPS          Recall     AvgNbrs   
-------    -----                --------     ---          ------     -------   

# cohere (768 dim, COSINE)
cohere     HNSW_SQ_ef100        2.2406       5726.21      0.9685     21.92     
cohere     HNSW_SQ_ef100        2.2317       5212.28      0.9727     21.92     
cohere     HNSW_SQ_ef100        2.2280       4863.58      0.9756     21.92     
cohere     HNSW_SQ_ef100        2.2414       4311.91      0.9779     21.92     
cohere     HNSW_SQ_ef100        2.2478       4200.89      0.9796     21.92     
cohere     HNSW_SQ_ef100        2.2198       4050.00      0.9812     21.92     
cohere     HNSWLIB_DEPRECATED_ef100 1208.8225    2422.62      0.9272     22.98     
cohere     HNSWLIB_DEPRECATED_ef120 3.5727       2072.80      0.9434     22.98     
cohere     HNSWLIB_DEPRECATED_ef140 3.5933       1789.62      0.9540     22.98     
cohere     HNSWLIB_DEPRECATED_ef160 3.5928       1548.34      0.9620     22.98     
cohere     HNSWLIB_DEPRECATED_ef180 3.5960       1399.10      0.9680     22.98     
cohere     HNSWLIB_DEPRECATED_ef200 3.5755       1260.27      0.9728     22.98     
cohere     HNSWLIB_DEPRECATED_ef220 3.6034       1179.08      0.9761     22.98     
cohere     HNSWLIB_DEPRECATED_ef240 3.6115       1077.53      0.9790     22.98     
cohere     HNSWLIB_DEPRECATED_ef260 3.6014       1003.39      0.9813     22.98     
cohere     HNSWLIB_DEPRECATED_ef280 3.6374       932.75       0.9836     22.98     
cohere     HNSWLIB_DEPRECATED_ef300 3.6114       874.54       0.9853     22.98     

=== Done ===
