=== Benchmark Results ===
Date: Generated from output.txt

Dataset    Index                          Build(s)     QPS          Recall     AvgNbrs   
-------    -----                          --------     ---          ------     -------   

# gist (768 dim, L2)
gist       HNSW_SQ_refine1                4.0942       6651.53      0.7780     21.18     
gist       HNSW_SQ_refine1.2              2.3771       5775.76      0.8352     21.18     
gist       HNSW_SQ_refine1.4              2.4149       5094.20      0.8674     21.18     
gist       HNSW_SQ_refine1.6              2.3917       4513.96      0.8890     21.18     
gist       HNSW_SQ_refine1.8              2.3828       4138.75      0.9046     21.18     
gist       HNSW_SQ_refine2                2.3887       3753.21      0.9164     21.18     
gist       HNSW_SQ_refine2.2              2.3989       3473.16      0.9261     21.18     
gist       HNSW_SQ_refine2.4              2.3891       3144.57      0.9345     21.18     
gist       HNSW_SQ_refine2.6              2.3901       2946.56      0.9415     21.18     
gist       HNSW_SQ_refine2.8              2.3826       2851.82      0.9467     21.18     
gist       HNSW_SQ_refine3                2.3938       2687.77      0.9516     21.18     
gist       HNSWLIB_ef100                  5.4207       2210.62      0.8275     20.52     
gist       HNSWLIB_ef120                  3.4479       1888.92      0.8569     20.52     
gist       HNSWLIB_ef140                  3.9608       1594.60      0.8793     20.52     
gist       HNSWLIB_ef160                  3.4638       1468.15      0.8962     20.52     
gist       HNSWLIB_ef180                  3.4852       1327.10      0.9102     20.52     
gist       HNSWLIB_ef200                  3.4870       1201.73      0.9212     20.52     
gist       HNSWLIB_ef220                  3.4570       1123.75      0.9305     20.52     
gist       HNSWLIB_ef240                  3.4743       1023.50      0.9381     20.52     
gist       HNSWLIB_ef260                  3.4369       987.22       0.9444     20.52     
gist       HNSWLIB_ef280                  3.4472       922.83       0.9500     20.52     
gist       HNSWLIB_ef300                  3.4525       879.65       0.9542     20.52     

=== Done ===
